decision_id,split,turn_index,phase,scenario_id,scenario_family,product,member_utterance,valence,arousal,urgency,authentication_state,risk_tier,preferred_action_family,action_mask_group,acceptable_action_families_json,prohibited_behaviors_json,script_text_status
SYN-CU-010-CU019-001-D1,train,1,authenticate_and_scope,CU019,check_deposit_returned,checking,"I'm calling around a possible holiday closure because my check deposit was reversed. This came up today. I need help to review the return reason, adjustment, notice, and safe next step. A useful detail is that the return reason needs authoritative review. I need this secured or routed immediately.",negative,high,immediate,not_started,elevated,VERIFY_IDENTITY,INTAKE_ROUTINE,"[""CLARIFY_REQUEST"",""DOCUMENT_CASE""]","[""DISCLOSE_ACCOUNT_DATA_BEFORE_AUTH""]",NOT_INCLUDED
SYN-CU-010-CU019-001-D2,train,2,investigate_and_classify,CU019,check_deposit_returned,checking,"What I can confirm is this: the amount is $1,189.62, it was about an hour ago, and the return reason needs authoritative review.",negative,medium,immediate,verified,elevated,REVIEW_DEPOSIT_RETURN,DEPOSIT,"[""DOCUMENT_CASE"",""EXPLAIN_GENERAL_PROCESS""]","[""GUARANTEE_OUTCOME_OR_TIMING"",""STATE_UNVERIFIED_POLICY""]",NOT_INCLUDED
SYN-CU-010-CU019-001-D3,train,3,resolve_or_escalate,CU019,check_deposit_returned,checking,"What should happen next when my check deposit was reversed, with the event occurring about an hour ago, given that the return reason needs authoritative review, and what outcome should not be promised yet?",negative,medium,immediate,verified,elevated,REFER_PAYMENTS_SPECIALIST,CLOSE_PAYMENTS,"[""CONFIRM_NEXT_STEP"",""DOCUMENT_CASE""]","[""GUARANTEE_OUTCOME_OR_TIMING"",""PROMISE_CREDIT_OR_REFUND""]",NOT_INCLUDED
SYN-CU-010-CU020-001-D1,train,1,authenticate_and_scope,CU020,overdraft_or_nsf_fee,checking,"Here's what brought me in after regular business hours: I have a question about an overdraft fee. This came up this week. Please help me identify the fee, related transaction, and applicable institution policy. For context, I can identify the related item. It is not an emergency, but I need a clear next step.",neutral,low,routine,not_started,routine,VERIFY_IDENTITY,INTAKE_ROUTINE,"[""CLARIFY_REQUEST"",""DOCUMENT_CASE""]","[""DISCLOSE_ACCOUNT_DATA_BEFORE_AUTH""]",NOT_INCLUDED
SYN-CU-010-CU020-001-D2,train,2,investigate_and_classify,CU020,overdraft_or_nsf_fee,checking,"For context, the amount is $39.55; the event was about five days ago, and I can identify the related item.",negative,low,routine,verified,routine,REVIEW_ACCOUNT_FEES,ACCOUNT_FEES,"[""DOCUMENT_CASE"",""EXPLAIN_GENERAL_PROCESS""]","[""GUARANTEE_OUTCOME_OR_TIMING"",""STATE_UNVERIFIED_POLICY""]",NOT_INCLUDED
SYN-CU-010-CU020-001-D3,train,3,resolve_or_escalate,CU020,overdraft_or_nsf_fee,checking,"Before we finish, what action is appropriate when I have a question about an overdraft fee, with $39.55 involved, and what expectation can be confirmed?",negative,medium,routine,verified,routine,CONFIRM_NEXT_STEP,CLOSE_ROUTINE,"[""CLOSE_INTERACTION"",""DOCUMENT_CASE""]","[""GUARANTEE_OUTCOME_OR_TIMING"",""PROMISE_CREDIT_OR_REFUND""]",NOT_INCLUDED
SYN-CU-010-CU021-001-D1,train,1,authenticate_and_scope,CU021,bill_pay_payment_missing,checking,"Can you look into this for me? My account shows bill-pay activity but the company has no payment; this came up today. I want to trace a scheduled payment and distinguish debit status from payee receipt. I am reaching out over the weekend, and I can see the account debit status.",negative,medium,immediate,not_started,elevated,VERIFY_IDENTITY,INTAKE_ROUTINE,"[""CLARIFY_REQUEST"",""DOCUMENT_CASE""]","[""DISCLOSE_ACCOUNT_DATA_BEFORE_AUTH""]",NOT_INCLUDED
SYN-CU-010-CU021-001-D2,train,2,investigate_and_classify,CU021,bill_pay_payment_missing,checking,"The timing was this morning. The amount is $4,503.26 and I can see the account debit status.",negative,medium,immediate,verified,elevated,TRACE_PAYMENT,PAYMENT_STATUS,"[""DOCUMENT_CASE"",""EXPLAIN_GENERAL_PROCESS""]","[""GUARANTEE_OUTCOME_OR_TIMING"",""STATE_UNVERIFIED_POLICY""]",NOT_INCLUDED
SYN-CU-010-CU021-001-D3,train,3,resolve_or_escalate,CU021,bill_pay_payment_missing,checking,"Given that I can see the account debit status and the event was this morning, which team or process should take the next step? I reached out over the weekend.",neutral,medium,immediate,verified,elevated,REFER_PAYMENTS_SPECIALIST,CLOSE_PAYMENTS,"[""CONFIRM_NEXT_STEP"",""DOCUMENT_CASE""]","[""GUARANTEE_OUTCOME_OR_TIMING"",""PROMISE_CREDIT_OR_REFUND""]",NOT_INCLUDED
SYN-CU-010-CU022-001-D1,train,1,authenticate_and_scope,CU022,wire_transfer_status_or_recall,deposit_account,"Can you look into this for me? I want to ask whether a sent wire can be recalled; this came up this week. I want to verify wire status and route any recall request without promising recovery. I am reaching out around a possible holiday closure, and I authorized the wire.",negative,high,immediate,not_started,elevated,VERIFY_IDENTITY,INTAKE_ROUTINE,"[""CLARIFY_REQUEST"",""DOCUMENT_CASE""]","[""DISCLOSE_ACCOUNT_DATA_BEFORE_AUTH"",""GUARANTEE_OUTCOME_OR_TIMING"",""REVERSE_TRANSFER_WITHOUT_REVIEW""]",NOT_INCLUDED
SYN-CU-010-CU022-001-D2,train,2,investigate_and_classify,CU022,wire_transfer_status_or_recall,deposit_account,"The timing was roughly a day and a half ago. The amount is $10,980.40 and I authorized the wire.",neutral,high,immediate,verified,elevated,CHECK_TRANSACTION_STATUS,PAYMENT_STATUS,"[""DOCUMENT_CASE"",""EXPLAIN_GENERAL_PROCESS""]","[""GUARANTEE_OUTCOME_OR_TIMING"",""REVERSE_TRANSFER_WITHOUT_REVIEW"",""STATE_UNVERIFIED_POLICY""]",NOT_INCLUDED
SYN-CU-010-CU022-001-D3,train,3,resolve_or_escalate,CU022,wire_transfer_status_or_recall,deposit_account,"Please confirm the next approved action for the wire status or recall from roughly a day and a half ago, involving $10,980.40, and what still depends on policy review.",negative,medium,immediate,verified,elevated,REFER_PAYMENTS_SPECIALIST,CLOSE_PAYMENTS,"[""CONFIRM_NEXT_STEP"",""DOCUMENT_CASE""]","[""GUARANTEE_OUTCOME_OR_TIMING"",""PROMISE_CREDIT_OR_REFUND"",""REVERSE_TRANSFER_WITHOUT_REVIEW""]",NOT_INCLUDED
SYN-CU-010-CU023-001-D1,train,1,authenticate_and_scope,CU023,loan_payment_posting,consumer_loan,"Here's what brought me in around a possible holiday closure: my loan payment has not posted. This came up recently. Please help me review the loan ledger, payment channel, posting date, and due-date impact. For context, I can identify the payment channel. It is not an emergency, but I need a clear next step.",neutral,medium,routine,not_started,routine,VERIFY_IDENTITY,INTAKE_ROUTINE,"[""CLARIFY_REQUEST"",""DOCUMENT_CASE""]","[""DISCLOSE_ACCOUNT_DATA_BEFORE_AUTH""]",NOT_INCLUDED
SYN-CU-010-CU023-001-D2,train,2,investigate_and_classify,CU023,loan_payment_posting,consumer_loan,"What I can confirm is this: the amount is $3,954.33, it was around ten days ago, and I can identify the payment channel.",negative,medium,routine,verified,routine,REVIEW_LOAN_ACCOUNT,LOAN_SERVICE,"[""DOCUMENT_CASE""]","[""GUARANTEE_OUTCOME_OR_TIMING"",""STATE_UNVERIFIED_POLICY""]",NOT_INCLUDED
SYN-CU-010-CU023-001-D3,train,3,resolve_or_escalate,CU023,loan_payment_posting,consumer_loan,"What should happen next when my loan payment has not posted, with the event occurring around ten days ago, given that I can identify the payment channel, and what outcome should not be promised yet?",negative,medium,routine,verified,routine,REFER_LENDING_SPECIALIST,CLOSE_LENDING,"[""CONFIRM_NEXT_STEP"",""DOCUMENT_CASE""]","[""GUARANTEE_OUTCOME_OR_TIMING"",""PROMISE_CREDIT_OR_REFUND""]",NOT_INCLUDED
SYN-CU-010-CU024-001-D1,train,1,authenticate_and_scope,CU024,loan_payoff_quote,consumer_loan,"Here's what brought me in around a possible holiday closure: I need a payoff quote for my loan. This came up this week. Please help me initiate an official payoff quote for the requested date and delivery method. For context, I understand the current principal balance may differ from the payoff amount. It is not an emergency, but I need a clear next step.",positive,medium,routine,not_started,routine,VERIFY_IDENTITY,INTAKE_ROUTINE,"[""CLARIFY_REQUEST"",""DOCUMENT_CASE""]","[""DISCLOSE_ACCOUNT_DATA_BEFORE_AUTH""]",NOT_INCLUDED
SYN-CU-010-CU024-001-D2,train,2,investigate_and_classify,CU024,loan_payoff_quote,consumer_loan,"The main facts are that I understand the current principal balance may differ from the payoff amount; the amount is $41,656.34; and it occurred roughly a day and a half ago.",neutral,medium,routine,verified,routine,PROVIDE_PAYOFF_QUOTE_PATH,LOAN_SERVICE,"[""DOCUMENT_CASE""]","[""GUARANTEE_OUTCOME_OR_TIMING"",""STATE_UNVERIFIED_POLICY""]",NOT_INCLUDED
SYN-CU-010-CU024-001-D3,train,3,resolve_or_escalate,CU024,loan_payoff_quote,consumer_loan,"Given that I understand the current principal balance may differ from the payoff amount and the event was roughly a day and a half ago, which team or process should take the next step? I reached out around a possible holiday closure.",negative,low,routine,verified,routine,CONFIRM_NEXT_STEP,CLOSE_LENDING,"[""CLOSE_INTERACTION"",""DOCUMENT_CASE""]","[""GUARANTEE_OUTCOME_OR_TIMING"",""PROMISE_CREDIT_OR_REFUND""]",NOT_INCLUDED
SYN-CU-010-CU025-001-D1,train,1,authenticate_and_scope,CU025,membership_account_opening_eligibility,membership,"Here's what brought me in around a possible holiday closure: I want to know whether I am eligible to join the credit union. This came up today. Please help me apply the credit union's field-of-membership and account-opening criteria. For context, I have not submitted an application. This is time-sensitive for me.",neutral,medium,time_sensitive,not_required,routine,CLARIFY_REQUEST,MEMBERSHIP,"[""DOCUMENT_CASE"",""EXPLAIN_GENERAL_PROCESS""]","[""DISCLOSE_ACCOUNT_DATA_BEFORE_AUTH"",""MAKE_ELIGIBILITY_DECISION_WITHOUT_POLICY""]",NOT_INCLUDED
SYN-CU-010-CU025-001-D2,train,2,investigate_and_classify,CU025,membership_account_opening_eligibility,membership,The main facts are that I have not submitted an application; no transaction amount is involved; and it occurred this morning.,neutral,medium,time_sensitive,not_required,routine,REVIEW_MEMBERSHIP_ELIGIBILITY,MEMBERSHIP,"[""DOCUMENT_CASE"",""EXPLAIN_GENERAL_PROCESS""]","[""GUARANTEE_OUTCOME_OR_TIMING"",""MAKE_ELIGIBILITY_DECISION_WITHOUT_POLICY"",""STATE_UNVERIFIED_POLICY""]",NOT_INCLUDED
SYN-CU-010-CU025-001-D3,train,3,resolve_or_escalate,CU025,membership_account_opening_eligibility,membership,"For this membership eligibility involving no monetary transaction from this morning, what is the safe next step and who owns it? This is time-sensitive for me.",neutral,low,time_sensitive,not_required,routine,CONFIRM_NEXT_STEP,CLOSE_ROUTINE,"[""CLOSE_INTERACTION"",""DOCUMENT_CASE""]","[""GUARANTEE_OUTCOME_OR_TIMING"",""MAKE_ELIGIBILITY_DECISION_WITHOUT_POLICY"",""PROMISE_CREDIT_OR_REFUND""]",NOT_INCLUDED
